"pk_species","ssi","ssi_old","ssi_2007","sti","sti_europe","thermal_niche_mean","thermal_niche_range","thermal_niche_max","thermal_niche_min","stri","exp_stri","trophic_vegetation","trophic_invertebrate","trophic_vertebrate"
"LULARB",0.910981605261749,0.903076539,0.623972315,15.43468103,13.4719748078,14.5056,12.4622,21.2742,8.81198,1.5,4.48,50,50,0
"LUSLUS",,,,,11.8425102806,,,,,,,,,
"LUSMEG",0.481345964890788,0.470259231,0.358722948,16.24685598,14.4948782033,16.0099,13.3447,22.2074,8.86272,2,7.39,0,100,0
"LUSSVE",3.0191892080446,,,,10.1597734578,,,,,2,7.39,,,
"LYMMIN",,,,,5.828813561,,,,,,,,,
"MARANG",,,,,18.8024317955,,,,,,,,,
"MELCAL",,,,,16.124198258,,,,,,,,,
"MELFUS",,,,,4.8133620389,,,,,,,,,
"MELNIG",,,,,4.2259136478,,,,,,,,,
"MERALB",,,,,5.4834183449,,,,,,,,,
"MERAPI",1.60825366737343,0.861843286,1.024479933,17.32886955,15.3795700333,16.4095,14.3269,24.0378,9.71084,2,7.39,0,100,0
"MERMER",,,,,7.9118621485,,,,,,,,,
"MERPER",,,,,14.7569191465,,,,,,,,,
"MERSER",,,,,7.3724850113,,,,,,,,,
"MILCAL",1.21116393435447,1.464345832,1.043350514,16.03896388,14.2313581317,,,,,1.28,3.6,,,
"MILMIG",0.789267922403647,0.753044534,0.840926491,15.59724425,13.4665896149,13.9509,14.8916,21.7092,6.81755,2.83,16.95,0,17,83
"MILMIL",1.31651360663972,1.343737628,1.414325948,15.3420459,13.5439835083,,,,,2.85,17.29,,,
"MONNIV",,,,,9.8050400066,,,,,,,,,
"MONSAX",,,,,13.7288003701,,,,,,,,,
"MONSOL",,,,,16.3664243982,,,,,,,,,
"MOTALB",0.717506128034312,0.693271291,0.635722415,13.90727231,11.9859302219,11.8371,18.4186,20.056,1.63743,2,7.39,0,100,0
"MOTCIN",1.60405746236861,,,,12.9122079488,,,,,2,7.39,,,
"MOTCIT",,,,,12.5405548291,,,,,,,,,
"MOTFLA",1.86496829062416,2.091236078,1.664903743,14.2180683,12.136968586,12.6236,17.551,21.4981,3.94717,2,7.39,0,100,0
"MUSSTR",0.875145091623309,0.967365732,0.649095905,14.12955658,12.1492223917,12.6632,16.4036,20.7408,4.33717,2,7.39,0,100,0
"NEOPER",,,,,15.3773789116,,,,,,,,,
"NETRUF",,,,,14.5832702044,,,,,,,,,
"NUCCAR",,,,,10.7296126215,,,,,,,,,
"NUMARQ",1.93931068038216,,,,10.0493203009,,,,,2,7.39,,,
"NUMPHA",2.19265481145752,,,,5.888322503,,,,,2,7.39,,,
"NYCNYC",,,,,15.1905388423,,,,,,,,,
"NYCSCA",,,,,2.9123452331,,,,,,,,,
"OCECAS",,,,,17.4695670485,,,,,,,,,
"OCELEU",,,,,8.4156478171,,,,,,,,,
"OENHIS",,,,,16.605864604,,,,,,,,,
"OENISA",,,,,15.5466304969,,,,,,,,,
"OENLEU",,,,,17.0870963247,,,,,,,,,
"OENOEN",1.88809192633185,1.703589277,1.283006673,13.55624839,11.6202368597,11.5893,18.5619,19.8588,1.29683,1.95,7.03,5,95,0
"OENPLE",,,,,15.2638104899,,,,,,,,,
"ORIORI",0.48111044772457,0.473188035,0.459813576,15.52358218,13.4707159049,14.4162,11.8073,20.5141,8.70674,1.95,7.03,5,95,0
"OTITAR",,,,,15.640742912,,,,,,,,,
"OTUSCO",,,,,15.4051046174,,,,,,,,,
"OXYJAM",,,,,11.338185095,,,,,,,,,
"OXYLEU",,,,,17.8705377499,,,,,,,,,
"PAGEBU",,,,,-8.9516053419,,,,,,,,,
"PANBIA",,,,,13.8780278318,,,,,,,,,
"PANHAL",,,,,8.9193839163,,,,,,,,,
"PARATE",1.56737650789836,1.386348618,0.976721797,13.72576381,11.9045668053,12.3275,14.2139,19.8551,5.64115,1.6,4.95,40,60,0
"PARCAE",0.363873562633183,0.35086549,0.300248487,14.61735607,12.7367473555,13.8151,14.4744,20.8357,6.36133,1.8,6.05,20,80,0
"PARCIN",,,,,4.4727972658,,,,,,,,,
"PARCRI",1.54347640480956,1.616742132,1.274948724,13.62451993,11.7118025203,12.1938,11.9518,17.9174,5.96556,1.6,4.95,40,60,0
"PARCYA",,,,,11.7753518129,,,,,,,,,
"PARLUG",,,,,15.1051015291,,,,,,,,,
"PARMAJ",0.279453853934729,0.294945444,0.228391751,14.30535837,12.343727765,12.8921,16.3441,20.8579,4.51377,1.85,6.36,15,85,0
"PARMON",1.42374352524338,1.392087703,0.807668216,12.25585631,10.1957890957,10.7927,12.4771,15.9845,3.50745,1.6,4.95,40,60,0
"PARPAL",1.07802510067662,0.98756152,0.784673331,14.21004357,12.3251392514,13.3596,11.6305,17.9866,6.35607,1.7,5.47,30,70,0
"PASDOM",1.27929777287191,1.263644808,1.1044676,14.14036399,12.2628071769,13.8934,24.0132,27.7104,3.69728,1.2,3.32,80,20,0
"PASHIS",,,,,17.0620063651,,,,,,,,,
"PASMON",1.07450577132488,1.251340508,0.910320252,15.03742797,13.070887931,12.8182,15.622,19.4418,3.81977,1.15,3.16,85,15,0
"PELCRI",,,,,15.2608208009,,,,,,,,,
"PELONO",,,,,14.67445266,,,,,,,,,
"PERAPI",1.2268869447352,,,,11.9608484505,,,,,2,7.39,,,
"PERINF",,,,,5.7726030844,,,,,,,,,
"PERPER",2.20379552419221,2.105617459,1.115967334,14.80692103,12.8463889005,13.3899,10.6253,18.8805,8.25517,1.1,3,90,10,0
"PETPET",2.43753720544533,,,,15.8836993035,,,,,1.22,3.39,,,
"PHAARI",,,,,12.5428143639,,,,,,,,,
"PHACAR",,,,,12.4695479275,,,,,,,,,
"PHACOL",0.603797978988171,0.868790894,0.532474222,14.58485011,12.8650410671,14.1541,10.8734,19.3016,8.42817,1.25,3.49,75,25,0
"PHAFUL",,,,,4.150416352,,,,,,,,,
"PHALOB",,,,,4.7092026561,,,,,,,,,
"PHAPYG",,,,,15.9922255243,,,,,,,,,
"PHIPUG",,,,,7.9732949741,,,,,,,,,
"PHOOCH",1.06392148259097,1.116885361,0.958917821,15.18579271,13.2394438706,14.4645,12.9299,20.7704,7.84044,1.85,6.36,15,85,0
"PHOPHO",0.756574003752351,0.970976815,0.690625881,13.29350672,11.3098485667,11.7703,15.1255,18.89,3.76445,1.93,6.89,7,93,0
"PHORUB",,,,,19.1058135837,,,,,,,,,
"PHYBON",0.961767158486164,0.858597068,0.6297477,15.74884694,13.8608600624,15.5607,15.7586,21.5934,5.83487,2,7.39,0,100,0
"PHYBOR",,,,,5.4723833661,,,,,,,,,
"PHYCOL",0.473270844958705,0.460004746,0.394842074,13.88450086,11.9465889491,11.5805,14.0988,17.757,3.65817,1.95,7.03,5,95,0
"PHYDES",,,,,9.7617129433,,,,,,,,,
"PHYINO",,,,,3.9717214356,,,,,,,,,
"PHYSIB",1.82162806883767,1.719525781,1.322335379,13.35485681,11.3755910555,12.4653,10.8992,17.1979,6.29872,1.95,7.03,5,95,0
"PHYTRO",1.12831187177684,1.117529105,0.697833518,12.45203517,10.4596695622,,,,,1.95,7.03,,,
"PICCAN",2.21312668204558,,,,12.0605754782,,,,,2,7.39,,,
"PICPIC",0.727149807418198,0.70220759,0.629173124,14.17157294,12.155826028,12.6757,18.8408,22.5157,3.67492,1.51,4.53,50,49,1
"PICTRI",,,,,7.9819685355,,,,,,,,,
"PICVIR",0.335354606411804,0.384167139,0.325770623,14.7494663,12.9413688865,13.7777,13.0868,19.5996,6.51277,2,7.39,0,100,0
"PINENU",,,,,5.0073529396,,,,,,,,,
"PLALEU",,,,,15.2992257968,,,,,,,,,
"PLEFAL",,,,,16.1132293666,,,,,,,,,
